Soil,Treatment,Pathogenicity
S16,Control,5
S16,Control,2.5
S16,Control,5
S16,Control,5
S16,Control,0
S16,Control,2.5
S16,Control,0
S16,Control,5
S16,Control,2.5
S16,Control,17.5
S16,T.basicola,50
S16,T.basicola,17.5
S16,T.basicola,5
S16,T.basicola,11.25
S16,T.basicola,17.5
S16,T.basicola,17.5
S16,T.basicola,11.25
S16,T.basicola,11.25
S16,T.basicola,5
S16,T.basicola,5
S8,Control,88.75
S8,Control,72.5
S8,Control,50
S8,Control,72.5
S8,Control,72.5
S8,Control,62.5
S8,Control,27.5
S8,Control,62.5
S8,Control,50
S8,Control,72.5
S8,T.basicola,82.5
S8,T.basicola,82.5
S8,T.basicola,82.5
S8,T.basicola,37.5
S8,T.basicola,95
S8,T.basicola,82.5
S8,T.basicola,95
S8,T.basicola,88.75
S8,T.basicola,95
S8,T.basicola,82.5
S7,Control,11.25
S7,Control,2.5
S7,Control,11.25
S7,Control,2.5
S7,Control,5
S7,Control,5
S7,Control,100
S7,Control,2.5
S7,Control,17.5
S7,Control,5
S7,T.basicola,100
S7,T.basicola,11.25
S7,T.basicola,37.5
S7,T.basicola,100
S7,T.basicola,82.5
S7,T.basicola,17.5
S7,T.basicola,37.5
S7,T.basicola,17.5
S7,T.basicola,27.5
S7,T.basicola,5
C6,Control,0
C6,Control,37.5
C6,Control,100
C6,Control,5
C6,Control,37.5
C6,Control,11.25
C6,Control,11.25
C6,Control,11.25
C6,Control,27.5
C6,Control,11.25
C6,T.basicola,50
C6,T.basicola,95
C6,T.basicola,62.5
C6,T.basicola,82.5
C6,T.basicola,82.5
C6,T.basicola,95
C6,T.basicola,95
C6,T.basicola,62.5
C6,T.basicola,82.5
C6,T.basicola,72.5
C10,Control,5
C10,Control,5
C10,Control,5
C10,Control,5
C10,Control,5
C10,Control,100
C10,Control,0
C10,Control,0
C10,Control,100
C10,Control,17.5
C10,T.basicola,82.5
C10,T.basicola,95
C10,T.basicola,88.75
C10,T.basicola,95
C10,T.basicola,95
C10,T.basicola,62.5
C10,T.basicola,62.5
C10,T.basicola,72.5
C10,T.basicola,95
C10,T.basicola,62.5
C112,Control,17.5
C112,Control,0
C112,Control,0
C112,Control,5
C112,Control,11.25
C112,Control,17.5
C112,Control,5
C112,Control,0
C112,Control,11.25
C112,Control,5
C112,T.basicola,100
C112,T.basicola,100
C112,T.basicola,100
C112,T.basicola,100
C112,T.basicola,27.5
C112,T.basicola,95
C112,T.basicola,95
C112,T.basicola,100
C112,T.basicola,62.5
C112,T.basicola,95
