Soil,Sample_Type,Treatment,Experimental_Run,Replicate,Phytohormone,Concentration_ng_g
C10,Root,Control,2,8,SA,39.14285714
C10,Root,Control,2,9,SA,32.73076923
C10,Root,Control,2,10,SA,30.5
C10,Root,Insect,2,9,SA,48.07692308
C10,Root,Insect,2,10,SA,39.4
C10,Root,Insect,2,11,SA,31.80392157
S16,Root,Control,3,8,SA,43.26530612
S16,Root,Control,3,9,SA,27.16981132
S16,Root,Control,3,10,SA,27.92307692
S16,Root,Insect,3,9,SA,41.63265306
S16,Root,Insect,3,10,SA,31.33333333
S16,Root,Insect,3,11,SA,35.72
S16,Root,Insect,3,1,SA,136
S16,Root,Insect,3,2,SA,221.2
S16,Root,Insect,3,3,SA,235.7692308
S16,Root,Insect,3,4,SA,201.6666667
S16,Root,Insect,3,5,SA,185.3846154
S16,Root,Insect,3,6,SA,219.1666667
C10,Root,Control,2,1,SA,173.6
C10,Root,Control,2,2,SA,166
C10,Root,Control,2,3,SA,174.8
C10,Root,Control,2,4,SA,171.1538462
C10,Root,Control,2,5,SA,190.4166667
C10,Root,Control,2,6,SA,220.4
C10,Root,Insect,2,1,SA,175.8333333
C10,Root,Insect,2,2,SA,233.6
C10,Root,Insect,2,3,SA,200.3921569
C10,Root,Insect,2,4,SA,183.3333333
C10,Root,Insect,2,5,SA,152
C10,Root,Insect,2,6,SA,159.6153846
C10,Root,Insect,2,7,SA,187.2
C10,Root,Insect,2,8,SA,336
C112,Root,Control,2,1,SA,209.1666667
C112,Root,Control,2,2,SA,278.8
C112,Root,Control,2,4,SA,148.627451
C112,Root,Control,2,3,SA,191.1538462
C112,Root,Control,2,5,SA,194.8
C112,Root,Control,2,6,SA,188.2352941
C112,Root,Insect,2,1,SA,209.7959184
C112,Root,Insect,2,2,SA,157.6470588
C112,Root,Insect,2,3,SA,148.3333333
C112,Root,Insect,2,4,SA,171.7647059
C112,Root,Insect,2,5,SA,167.755102
C112,Root,Insect,2,6,SA,204.4
C112,Root,Insect,2,7,SA,140
S16,Root,Control,2,1,SA,216.5384615
S16,Root,Control,2,2,SA,252.5
S16,Root,Control,2,3,SA,203.3333333
S16,Root,Control,2,4,SA,316.0784314
S16,Root,Control,2,5,SA,228.4
S16,Root,Control,2,6,SA,423.0769231
S16,Root,Insect,2,1,SA,247.2
S16,Root,Insect,2,2,SA,235
S16,Root,Insect,2,3,SA,166.25
S16,Root,Insect,2,4,SA,308.4615385
S16,Root,Insect,2,5,SA,250.2040816
S16,Root,Insect,2,6,SA,234.6938776
S16,Root,Insect,2,7,SA,276.1538462
S16,Root,Insect,2,8,SA,NA
S7,Root,Control,2,1,SA,262.0408163
S7,Root,Control,2,2,SA,188.5714286
S7,Root,Control,2,3,SA,333.3333333
S7,Root,Control,2,4,SA,346.1538462
S7,Root,Control,2,5,SA,216.5384615
S7,Root,Control,2,6,SA,253.8461538
S7,Root,Insect,2,1,SA,205.3846154
S7,Root,Insect,2,2,SA,191.2
S7,Root,Insect,2,3,SA,242.8
S7,Root,Insect,2,4,SA,241.1764706
S7,Root,Insect,4,5,SA,380.4166667
S7,Root,Insect,4,6,SA,224.1666667
S7,Root,Insect,4,7,SA,186.5306122
S7,Root,Insect,4,8,SA,196.0784314
C10,Root,Control,3,10,SA,233.2
C10,Root,Control,3,2,SA,302.6923077
C10,Root,Control,3,3,SA,469.3877551
C10,Root,Control,3,4,SA,234.2307692
C10,Root,Control,3,5,SA,317.0833333
C10,Root,Control,3,6,SA,299.6078431
C10,Root,Insect,3,1,SA,208.9795918
C10,Root,Insect,3,2,SA,220.3921569
C10,Root,Insect,3,3,SA,240
C10,Root,Insect,3,5,SA,333.0769231
C10,Root,Insect,3,4,SA,419.2307692
C10,Root,Insect,3,6,SA,194.2307692
C10,Root,Insect,3,7,SA,290
C10,Root,Insect,3,8,SA,283.75
C112,Root,Control,3,1,SA,198.0392157
C112,Root,Control,3,2,SA,228.4615385
C112,Root,Control,3,3,SA,230
C112,Root,Control,3,4,SA,227.5
C112,Root,Control,3,5,SA,217.2
C112,Root,Control,3,6,SA,271.6666667
C112,Root,Insect,3,1,SA,326.9230769
C112,Root,Insect,3,2,SA,193.0769231
C112,Root,Insect,3,3,SA,186.9387755
C112,Root,Insect,3,4,SA,247.3469388
C112,Root,Insect,3,5,SA,147.4509804
C112,Root,Insect,3,6,SA,170.4166667
C112,Root,Insect,3,7,SA,195
S16,Root,Control,3,1,SA,170.3846154
S16,Root,Control,3,2,SA,220.8163265
S16,Root,Control,3,3,SA,260
S16,Root,Control,3,5,SA,188.627451
S16,Root,Control,3,4,SA,281.25
S16,Root,Control,3,6,SA,215
S16,Root,Insect,3,1,SA,141.9607843
S7,Root,Control,3,1,SA,295.5102041
S7,Root,Control,3,2,SA,208.5714286
S7,Root,Control,3,3,SA,312.9411765
S7,Root,Control,3,4,SA,268.627451
S7,Root,Control,3,5,SA,272.6315789
S7,Root,Control,3,6,SA,236.1538462
S7,Root,Insect,3,1,SA,245.8823529
S7,Root,Insect,3,2,SA,270.4166667
S7,Root,Insect,3,3,SA,220
S7,Root,Insect,3,4,SA,229.1666667
S7,Root,Insect,3,5,SA,231.8367347
S7,Root,Insect,3,6,SA,223.6
S7,Root,Insect,3,7,SA,203.8461538
S7,Root,Insect,3,8,SA,184.8
C112,Root,Insect,4,8,SA,318.8
S16,Leaf,Control,3,8,SA,352
S16,Leaf,Control,3,9,SA,411.5384615
S16,Leaf,Control,3,10,SA,880
S16,Leaf,Insect,3,9,SA,1369.230769
S16,Leaf,Insect,3,10,SA,1824.489796
S16,Leaf,Insect,3,11,SA,980.3921569
C10,Leaf,Control,1,1,SA,1046.153846
C10,Leaf,Control,1,2,SA,354.9019608
C10,Leaf,Control,1,3,SA,661.5384615
C10,Leaf,Control,1,4,SA,701.9607843
C10,Leaf,Control,1,5,SA,969.8113208
C10,Leaf,Control,1,6,SA,1141.176471
C10,Leaf,Insect,1,1,SA,1880
C10,Leaf,Insect,1,2,SA,1152
C10,Leaf,Insect,1,3,SA,1520.833333
C10,Leaf,Insect,1,4,SA,1992.156863
C10,Leaf,Insect,1,5,SA,2270.833333
C10,Leaf,Insect,1,6,SA,1365.384615
C10,Leaf,Insect,1,7,SA,1096.153846
C10,Leaf,Insect,1,8,SA,2258.333333
C112,Leaf,Control,1,1,SA,1073.076923
C112,Leaf,Control,1,2,SA,1349.019608
C112,Leaf,Control,1,3,SA,980
C112,Leaf,Control,1,4,SA,1329.411765
C112,Leaf,Control,1,5,SA,905.8823529
C112,Leaf,Control,1,6,SA,445.8333333
C112,Leaf,Insect,1,1,SA,788.6792453
C112,Leaf,Insect,1,2,SA,1880.769231
C112,Leaf,Insect,1,3,SA,1572
C112,Leaf,Insect,1,4,SA,1260
C112,Leaf,Insect,1,5,SA,1352
C112,Leaf,Insect,1,6,SA,1301.960784
C112,Leaf,Insect,1,7,SA,1269.230769
C112,Leaf,Insect,1,8,SA,2088
S16,Leaf,Control,1,1,SA,1869.230769
S16,Leaf,Control,1,2,SA,3430.769231
S16,Leaf,Control,1,3,SA,1461.538462
S16,Leaf,Control,1,4,SA,1257.692308
S16,Leaf,Control,1,5,SA,2050.980392
S16,Leaf,Control,1,6,SA,1354.166667
S16,Leaf,Insect,1,1,SA,1980
S16,Leaf,Insect,1,2,SA,3234.615385
S16,Leaf,Insect,1,3,SA,2200
S16,Leaf,Insect,1,4,SA,1172.54902
S16,Leaf,Insect,1,5,SA,1570.833333
S16,Leaf,Insect,1,6,SA,1328
S7,Leaf,Control,1,1,SA,929.1666667
S7,Leaf,Control,1,2,SA,1038.461538
S7,Leaf,Control,1,3,SA,886.2745098
S7,Leaf,Control,1,4,SA,612.244898
S7,Leaf,Control,1,5,SA,815.6862745
S7,Leaf,Control,1,6,SA,1036
S7,Leaf,Insect,1,1,SA,1365.384615
S7,Leaf,Insect,1,2,SA,2878.431373
S7,Leaf,Insect,1,3,SA,1933.333333
S7,Leaf,Insect,1,4,SA,1762.5
S7,Leaf,Insect,1,5,SA,1768
S7,Leaf,Insect,1,6,SA,2984
S7,Leaf,Insect,1,7,SA,2208.163265
C10,Leaf,Control,3,10,SA,1107.692308
C10,Leaf,Control,3,2,SA,930.7692308
C10,Leaf,Control,3,3,SA,975.5102041
C10,Leaf,Control,3,4,SA,946.1538462
C10,Leaf,Control,3,5,SA,875
C10,Leaf,Control,3,6,SA,729.1666667
C10,Leaf,Insect,3,1,SA,2120.833333
C10,Leaf,Insect,3,2,SA,2423.529412
C10,Leaf,Insect,3,3,SA,2710.204082
C10,Leaf,Insect,3,4,SA,2958.333333
C10,Leaf,Insect,3,5,SA,1369.230769
C10,Leaf,Insect,3,6,SA,2403.921569
C10,Leaf,Insect,3,7,SA,2130.612245
C10,Leaf,Insect,3,8,SA,1625
C112,Leaf,Control,3,1,SA,1000
C112,Leaf,Control,3,2,SA,542.8571429
C112,Leaf,Control,3,3,SA,595.8333333
C112,Leaf,Control,3,5,SA,474.5098039
C112,Leaf,Control,3,4,SA,820.4081633
C112,Leaf,Control,3,6,SA,737.5
C112,Leaf,Insect,3,1,SA,1644
C112,Leaf,Insect,3,2,SA,910.2040816
C112,Leaf,Insect,3,3,SA,1439.215686
C112,Leaf,Insect,3,4,SA,1500
C112,Leaf,Insect,3,5,SA,1024
C112,Leaf,Insect,3,6,SA,914.2857143
C112,Leaf,Insect,3,7,SA,1282.352941
S16,Leaf,Control,3,1,SA,928
S16,Leaf,Control,3,2,SA,1076
S16,Leaf,Control,3,3,SA,942.8571429
S16,Leaf,Control,3,4,SA,1095.833333
S16,Leaf,Control,3,5,SA,607.6923077
S16,Leaf,Control,3,6,SA,1154.166667
S16,Leaf,Insect,3,1,SA,1261.538462
S16,Leaf,Insect,3,2,SA,2044.897959
S16,Leaf,Insect,3,5,SA,1584.313725
S16,Leaf,Insect,3,4,SA,1491.666667
S16,Leaf,Insect,3,3,SA,1254.901961
S16,Leaf,Insect,3,6,SA,1734.693878
S16,Leaf,Insect,3,7,SA,1657.692308
S16,Leaf,Insect,3,8,SA,1718.367347
