id_samples	Soil	Compartment	Treatment	Replicate
C10_Insect_1	C10	Insect	None	1
C10_Insect_2	C10	Insect	None	2
C10_Insect_3	C10	Insect	None	3
C10_Insect_4	C10	Insect	None	4
C10_Leaf_C1	C10	Leaf	Control	1
C10_Leaf_C2	C10	Leaf	Control	2
C10_Leaf_C3	C10	Leaf	Control	3
C10_Leaf_C4	C10	Leaf	Control	4
C10_Leaf_I1	C10	Leaf	Insect	1
C10_Leaf_I2	C10	Leaf	Insect	2
C10_Leaf_I3	C10	Leaf	Insect	3
C10_Leaf_I4	C10	Leaf	Insect	4
C10_Leaf_I5	C10	Leaf	Insect	5
C10_Rhizosphere_C1	C10	Rhizosphere	Control	1
C10_Rhizosphere_C2	C10	Rhizosphere	Control	2
C10_Rhizosphere_C3	C10	Rhizosphere	Control	3
C10_Rhizosphere_C4	C10	Rhizosphere	Control	4
C10_Rhizosphere_C5	C10	Rhizosphere	Control	5
C10_Rhizosphere_I1	C10	Rhizosphere	Insect	1
C10_Rhizosphere_I2	C10	Rhizosphere	Insect	2
C10_Rhizosphere_I3	C10	Rhizosphere	Insect	3
C10_Rhizosphere_I4	C10	Rhizosphere	Insect	4
C10_Rhizosphere_I5	C10	Rhizosphere	Insect	5
C10_Rhizosphere_I6	C10	Rhizosphere	Insect	6
C10S_Soil_1	C10	Soil	None	1
C10S_Soil_2	C10	Soil	None	2
C10S_Soil_3	C10	Soil	None	3
C10S_Soil_4	C10	Soil	None	4
C10S_Soil_5	C10	Soil	None	5
C112_Insect_1	C112	Insect	None	1
C112_Insect_2	C112	Insect	None	2
C112_Insect_3	C112	Insect	None	3
C112_Insect_4	C112	Insect	None	4
C112_Leaf_C1	C112	Leaf	Control	1
C112_Leaf_C2	C112	Leaf	Control	2
C112_Leaf_C3	C112	Leaf	Control	3
C112_Leaf_C4	C112	Leaf	Control	4
C112_Leaf_I1	C112	Leaf	Insect	1
C112_Leaf_I2	C112	Leaf	Insect	2
C112_Leaf_I3	C112	Leaf	Insect	3
C112_Leaf_I4	C112	Leaf	Insect	4
C112_Leaf_I5	C112	Leaf	Insect	5
C112_Rhizosphere_C1	C112	Rhizosphere	Control	1
C112_Rhizosphere_C2	C112	Rhizosphere	Control	2
C112_Rhizosphere_C3	C112	Rhizosphere	Control	3
C112_Rhizosphere_C4	C112	Rhizosphere	Control	4
C112_Rhizosphere_C5	C112	Rhizosphere	Control	5
C112_Rhizosphere_I1	C112	Rhizosphere	Insect	1
C112_Rhizosphere_I2	C112	Rhizosphere	Insect	2
C112_Rhizosphere_I3	C112	Rhizosphere	Insect	3
C112_Rhizosphere_I4	C112	Rhizosphere	Insect	4
C112_Rhizosphere_I5	C112	Rhizosphere	Insect	5
C112_Rhizosphere_I6	C112	Rhizosphere	Insect	6
C112S_Soil_1	C112	Soil	None	1
C112S_Soil_2	C112	Soil	None	2
C112S_Soil_3	C112	Soil	None	3
C112S_Soil_4	C112	Soil	None	4
C112S_Soil_5	C112	Soil	None	5
